,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
0,2019-01-01,25,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,25,7,39.9612,-82.9988,Columbus,2020-03-23,892533
1,2019-01-02,46,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,46,18,39.9612,-82.9988,Columbus,2020-03-23,892533
2,2019-01-03,44,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,13,44,21,39.9612,-82.9988,Columbus,2020-03-23,892533
3,2019-01-04,52,PM2.5,Smoky Row Near Road,39-049-0038,AQS,5,.,0,.,52,21,39.9612,-82.9988,Columbus,2020-03-23,892533
4,2019-01-05,55,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,55,17,39.9612,-82.9988,Columbus,2020-03-23,892533
5,2019-01-06,43,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,43,21,39.9612,-82.9988,Columbus,2020-03-23,892533
6,2019-01-07,25,PM2.5,New Albany,39-049-0029,AQS,2,.,1,.,25,20,39.9612,-82.9988,Columbus,2020-03-23,892533
7,2019-01-08,26,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,26,15,39.9612,-82.9988,Columbus,2020-03-23,892533
8,2019-01-09,28,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,1,13,28,6,39.9612,-82.9988,Columbus,2020-03-23,892533
9,2019-01-10,23,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,23,6,39.9612,-82.9988,Columbus,2020-03-23,892533
10,2019-01-11,45,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,45,24,39.9612,-82.9988,Columbus,2020-03-23,892533
11,2019-01-12,63,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,63,16,39.9612,-82.9988,Columbus,2020-03-23,892533
12,2019-01-13,59,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,59,29,39.9612,-82.9988,Columbus,2020-03-23,892533
13,2019-01-14,58,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,58,34,39.9612,-82.9988,Columbus,2020-03-23,892533
14,2019-01-15,79,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,.,22,79,36,39.9612,-82.9988,Columbus,2020-03-23,892533
15,2019-01-16,43,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,43,26,39.9612,-82.9988,Columbus,2020-03-23,892533
16,2019-01-17,52,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,52,27,39.9612,-82.9988,Columbus,2020-03-23,892533
17,2019-01-18,71,PM2.5,Barack Rec Center,39-049-0039,AQS,5,.,0,.,71,20,39.9612,-82.9988,Columbus,2020-03-23,892533
18,2019-01-19,59,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,59,18,39.9612,-82.9988,Columbus,2020-03-23,892533
19,2019-01-20,34,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,.,.,34,6,39.9612,-82.9988,Columbus,2020-03-23,892533
20,2019-01-21,48,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,.,15,48,37,39.9612,-82.9988,Columbus,2020-03-23,892533
21,2019-01-22,45,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,.,.,45,24,39.9612,-82.9988,Columbus,2020-03-23,892533
22,2019-01-23,20,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,20,18,39.9612,-82.9988,Columbus,2020-03-23,892533
23,2019-01-24,46,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,.,.,46,15,39.9612,-82.9988,Columbus,2020-03-23,892533
