,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
0,2019-01-01,45,PM2.5,MASPETH LIBRARY,36-081-0120,AQS,6,30,0,.,45,38,40.7128,-74.006,New_York,2020-03-22,8398748
1,2019-01-02,64,PM2.5,PS 19,36-061-0128,AQS,7,29,6,.,64,32,40.7128,-74.006,New_York,2020-03-22,8398748
2,2019-01-03,54,PM2.5,PS 19,36-061-0128,AQS,6,26,3,11,54,37,40.7128,-74.006,New_York,2020-03-22,8398748
3,2019-01-04,60,PM2.5,Elizabeth Lab,34-039-0004,AQS,9,20,6,.,60,34,40.7128,-74.006,New_York,2020-03-22,8398748
4,2019-01-05,50,PM2.5,DIVISION STREET,36-061-0134,AQS,9,26,33,.,50,31,40.7128,-74.006,New_York,2020-03-22,8398748
5,2019-01-06,51,PM2.5,DIVISION STREET,36-061-0134,AQS,7,33,1,6,51,23,40.7128,-74.006,New_York,2020-03-22,8398748
6,2019-01-07,44,NO2,Newark Firehouse,34-013-0003,AQS,7,33,1,.,36,44,40.7128,-74.006,New_York,2020-03-22,8398748
7,2019-01-08,75,PM2.5,Fort Lee Near Road,34-003-0010,AQS,14,29,4,.,75,67,40.7128,-74.006,New_York,2020-03-22,8398748
8,2019-01-09,38,PM2.5,PS 314,36-047-0052,AQS,9,27,1,8,38,33,40.7128,-74.006,New_York,2020-03-22,8398748
9,2019-01-10,42,PM2.5,Intermediate School 143,36-061-0115,AQS,6,33,1,.,42,19,40.7128,-74.006,New_York,2020-03-22,8398748
10,2019-01-11,45,PM2.5,IS 74,36-005-0112,AQS,6,38,3,.,45,45,40.7128,-74.006,New_York,2020-03-22,8398748
11,2019-01-12,43,PM2.5,HOLTSVILLE,36-103-0009,AQS,6,35,3,6,43,33,40.7128,-74.006,New_York,2020-03-22,8398748
12,2019-01-13,42,PM2.5,PS 19,36-061-0128,AQS,6,35,1,.,42,23,40.7128,-74.006,New_York,2020-03-22,8398748
13,2019-01-14,52,NO2,Elizabeth Lab,34-039-0004,AQS,8,33,4,.,42,52,40.7128,-74.006,New_York,2020-03-22,8398748
14,2019-01-15,63,NO2,Newark Firehouse,34-013-0003,AQS,13,30,4,29,59,63,40.7128,-74.006,New_York,2020-03-22,8398748
15,2019-01-16,67,PM2.5,Jersey City Firehouse,34-017-1003,AQS,10,34,7,.,67,45,40.7128,-74.006,New_York,2020-03-22,8398748
16,2019-01-17,44,PM2.5,PS 19,36-061-0128,AQS,8,34,4,.,44,42,40.7128,-74.006,New_York,2020-03-22,8398748
17,2019-01-18,94,NO2,Fort Lee Near Road,34-003-0010,AQS,10,31,3,19,71,94,40.7128,-74.006,New_York,2020-03-22,8398748
18,2019-01-19,56,PM2.5,Jersey City Firehouse,34-017-1003,AQS,7,34,6,.,56,34,40.7128,-74.006,New_York,2020-03-22,8398748
19,2019-01-20,37,PM2.5,PS 19,36-061-0128,AQS,7,34,9,.,37,36,40.7128,-74.006,New_York,2020-03-22,8398748
20,2019-01-21,50,PM2.5,Intermediate School 143,36-061-0115,AQS,6,37,4,12,50,26,40.7128,-74.006,New_York,2020-03-22,8398748
21,2019-01-22,54,NO2,Fort Lee Near Road,34-003-0010,AQS,8,36,6,.,52,54,40.7128,-74.006,New_York,2020-03-22,8398748
22,2019-01-23,54,NO2,Newark Firehouse,34-013-0003,AQS,11,37,6,.,49,54,40.7128,-74.006,New_York,2020-03-22,8398748
23,2019-01-24,49,NO2,Newark Firehouse,34-013-0003,AQS,14,38,3,6,33,49,40.7128,-74.006,New_York,2020-03-22,8398748
24,2019-01-25,46,PM2.5,Intermediate School 143,36-061-0115,AQS,5,36,1,.,46,42,40.7128,-74.006,New_York,2020-03-22,8398748
25,2019-01-26,48,PM2.5,HOLTSVILLE,36-103-0009,AQS,8,35,3,.,48,41,40.7128,-74.006,New_York,2020-03-22,8398748
26,2019-01-27,51,PM2.5,Flemington,34-019-0001,AQS,16,41,3,15,51,50,40.7128,-74.006,New_York,2020-03-22,8398748
27,2019-01-28,54,PM2.5,PS 19,36-061-0128,AQS,8,36,1,.,54,42,40.7128,-74.006,New_York,2020-03-22,8398748
28,2019-01-29,69,NO2,Fort Lee Near Road,34-003-0010,AQS,17,35,6,.,60,69,40.7128,-74.006,New_York,2020-03-22,8398748
29,2019-01-30,54,PM2.5,Intermediate School 143,36-061-0115,AQS,9,37,7,13,54,32,40.7128,-74.006,New_York,2020-03-22,8398748
30,2019-01-31,49,PM2.5,Intermediate School 143,36-061-0115,AQS,10,33,6,.,49,45,40.7128,-74.006,New_York,2020-03-22,8398748
31,2019-02-01,53,NO2,Fort Lee Near Road,34-003-0010,AQS,11,35,6,.,51,53,40.7128,-74.006,New_York,2020-03-22,8398748
32,2019-02-02,80,PM2.5,Flemington,34-019-0001,AQS,10,32,6,31,80,49,40.7128,-74.006,New_York,2020-03-22,8398748
33,2019-02-03,92,PM2.5,Fort Lee Near Road,34-003-0010,AQS,13,41,6,.,92,51,40.7128,-74.006,New_York,2020-03-22,8398748
34,2019-02-04,83,PM2.5,IS 52,36-005-0110,AQS,16,38,10,.,83,65,40.7128,-74.006,New_York,2020-03-22,8398748
35,2019-02-05,81,PM2.5,Jersey City Firehouse,34-017-1003,AQS,18,36,4,.,81,68,40.7128,-74.006,New_York,2020-03-22,8398748
36,2019-02-06,80,NO2,Fort Lee Near Road,34-003-0010,AQS,7,28,3,.,42,80,40.7128,-74.006,New_York,2020-03-22,8398748
37,2019-02-07,51,PM2.5,Elizabeth Lab,34-039-0004,AQS,7,25,1,.,51,41,40.7128,-74.006,New_York,2020-03-22,8398748
38,2019-02-08,43,PM2.5,Fort Lee Near Road,34-003-0010,AQS,9,35,4,9,43,37,40.7128,-74.006,New_York,2020-03-22,8398748
39,2019-02-09,37,Ozone,MILLBROOK,36-027-0007,AQS,5,37,3,.,35,15,40.7128,-74.006,New_York,2020-03-22,8398748
